UserSenderId;SubmitDate;MessageText
16420;23.12.2020 14:37; Владимир, спасибо за комментарий. До 29 декабря включительно мы будем выдавать заказы в офисе ежедневно, в рабочие часы. В ближайшее время об этом будет коммуникация. Заказ можно будет получить в зоне ресепшн. Для уменьшения времени ожадания прошу за некоторое время написать, чтобы мы успели подготовить заказ :)
8191;23.12.2020 14:14;                <p>Если симка в смартфоне, то АОН можно поставить и настроить на отбой нежелательных звонков или гашение их звука: Яндекс, TrueCaller и т.п.<br></p>            
9062;21.12.2020 18:35; Дмитрий, не надо представлять из нас эгоистов.<br>Люди думают о нас - поскольку это их работа.<br>Мы думаем о других людях, в рамках своей работы. <br>И силы свои и душу свою вкладываем так же.<br>Я не предложил отобрать кусок хлеба у голодающего ребёнка.<br>Мы коммерческая организация.<br>И вопрос мой считаю вполне уместен. Пенять на него не надо. Постыдным его не считаю.<br>Проживу ли я без этих доплат?  <br>Безусловно.<br>Но спросить я имею право.<br>Так же имею право на собственное мнение. Не обязательно его разделять.<br><br>Хорошего настроения)
10296;11.12.2020 10:02;Оля, ты не поняла это предложение для переболевших.  Запахи снова вернулись в жизнь, безвкусное ковидло снова стало вкусной едой, кашель прошел, одышка больше не беспокоит, вернулись силы, тест показал наличие антител - все, пора наслаждаться жизнью на всю катушку (пока антитела не исчезли).
16572;02.12.2020 16:31;"<p class=""st0"">Коллеги, есть хоть какой-то из особенных товаров, который есть в наличии? Я сейчас перебрала штук 6 понравившихся, но их всех нет в наличии...</p>"
14503;27.11.2020 13:11; Дмитрий, за бесплатно ничего не делается)
17002;26.11.2020 09:59;"<p class=""st0"">Вопрос, когда приедут толстовки купленные еще в сентябре? Заказ в статусе НОВЫЙ так и висит</p>"
12614;24.11.2020 17:02;"<p class=""st0"">И все же когда... когда же будет светлая тема? </p>"
15599;24.11.2020 16:26;"<p class=""st0"">а куда делся чат бот?</p>"
16573;24.11.2020 16:04;Какой размер мяча, 4 или 5 ?
17069;20.11.2020 16:20; Виталий, перешёл 2 мес назад. Пока до конца не понял. Есть несколько болезненных косяков. 50 на 50 в общем на текущий момент.
8382;20.11.2020 11:47;"<p class=""st0"">Почему нельзя запланировать больше чем 28 дней, если доступно 65?</p>"
9012;17.11.2020 11:35;"<p class=""st0"">Ограничение будет касаться только корпоративных ноутбуков? </p>"
8840;12.11.2020 08:06;"<p class=""st0"">имеет ли смысл торопиться , если у большой части компании с 1 января поменяются команды/руководители ? то, что согласовал с одним, для второго уже может не подойти. </p>"
